Name,Team,ERA
Jackson Baumeister,TBR,5.3
Connor Van Scoyoc,WSN,5.14
Austin Love,STL,4.52
Michael Darrell-Hicks,PIT,4.63
Brady Feigl,,4.75
Adam Plutko,,5.35
Marcelo Perez,SEA,5.04
Matt Manning,,5.22
Brandon Birdsell,CHC,4.97
Cory Lewis,MIN,5.06
Isaac Coffey,BOS,5.09
Jimmy Endersby,,4.7
Evan Fitterer,SDP,4.91
Houston Harding,LAA,5.05
Shane Panzini,KCR,5.13
Wilkel Hernandez,,5.21
Adrian Sampson,,5.26
Luis Moreno,MIA,5.08
Patrick Copen,LAD,5.49
Will Schomberg,MIA,4.99
Blas Castaño,SEA,4.71
Roel Garcia III,TBR,5.12
Abdiel Mendoza,SEA,4.77
José Ureña,,5.22
Michael Prosecky,COL,5.65
Anthony Solometo,PIT,4.85
Estibenzon Jimenez,PHI,5.61
Wil Crowe,,5.15
Xzavion Curry,,5.17
Brett Kerry,LAA,5.57
Zach Messinger,NYY,5.34
Bradley Blalock,MIA,5.25
Nick Sinacola,SFG,4.84
Noah Davis,PIT,4.79
Connor Gillispie,PHI,5.47
Ryan Watson,TOR,5.33
Rich Hill,,5.4
Cory Wall,ATL,4.62
Michael Morales,SEA,4.97
Shinnosuke Ogasawara,WSN,5.04
Seth Johnson,PHI,5.04
Drue Hackenberg,ATL,5.17
Avery Short,ARI,4.78
Justin Jarvis,LAD,5.66
Cole Winn,TEX,4.82
Jonatan Bernal,ARI,4.66
Peter Van Loon,,4.81
Roddery Muñoz,HOU,4.66
Daniel Missaki,TEX,5.25
Jose Cabrera,ARI,4.82
Jordan Geber,NYM,4.97
Morgan McSweeney,,4.93
Dylan Cumming,CHW,5.45
Justin Meis,PIT,4.57
Alex Santos II,HOU,4.91
Jackson Kowar,BAL,4.74
Harry Gustin,SDP,4.58
Bryce Conley,NYM,5.54
Karl Kauffmann,,5.38
JJ Goss,ATH,5.1
Dominic Perachi,PIT,4.89
Christian Romero,LAD,5.52
Braydon Tucker,PHI,5.53
Brian Moran,,4.5
Aaron Brooks,,5.31
Luis F. Castillo,,5.19
Cade Gibson,MIA,4.4
Grant Kipp,CHC,5.08
Angel Macuare,,5.06
Sam Benschoter,CIN,5.6
Zach Fruit,BAL,5.29
Ryan Murphy,STL,5.09
Touki Toussaint,,5.14
Manuel Urias,,5.1
Alexander Cornielle,NYY,5.68
