Name,Team,ERA
Chandler Champlain,Kansas City Royals,5
Shane Drohan,Milwaukee Brewers,4.62
Alec Marsh,Kansas City Royals,4.88
Jake Brooks,Colorado Rockies,5.12
Seth Shuman,Washington Nationals,4.71
Christian Scott,New York Mets,4.55
Roansy Contreras,,4.99
Sauryn Lao,,4.42
Matt Waldron,San Diego Padres,4.96
Cooper Criswell,Seattle Mariners,4.24
Charlie Barnes,Boston Red Sox,5.35
Hagen Smith,Chicago White Sox,4.88
Tyler Stuart,Washington Nationals,4.5
Kyle Hart,San Diego Padres,4.57
Jackson Wolf,San Diego Padres,4.77
J.P. France,Houston Astros,4.17
Spencer Giesting,Arizona Diamondbacks,4.43
Brody Hopkins,Tampa Bay Rays,4.73
Wes Benjamin,,4.57
Caden Dana,Kansas City Royals,4.91
Clayton Beeter,Washington Nationals,4.17
Javier Assad,Boston Red Sox,4.06
Brycen Mautz,St. Louis Cardinals,4.64
Jesse Scholtens,Tampa Bay Rays,4.52
Adam Kloffenstein,New York Yankees,4.88
Michael Grove,Los Angeles Dodgers,4.68
Garrett Burhenn,Detroit Tigers,4.93
Pedro Avila,Cleveland Indians,4.21
Tyler Alexander,Texas Rangers,4.85
Joe Whitman,San Francisco Giants,4.72
Tyler Anderson,Kansas City Royals,4.85
Daniel Lynch IV,Kansas City Royals,4.35
Forrest Whitley,,4.42
DL Hall,Milwaukee Brewers,4.16
Luis Medina,Athletics,4.72
Joey Estes,Athletics,5.12
Tyler Wells,Baltimore Orioles,4.44
Jacob Latz,Texas Rangers,4.46
Kyle Tyler,,4.94
JT Brubaker,San Francisco Giants,4.36
Jarlin Susana,Washington Nationals,4.8
Easton Lucas,,4.74
Jhancarlos Lara,Atlanta Braves,4.25
Lance McCullers Jr.,Houston Astros,4.41
Ben Shields,Colorado Rockies,4.81
Ken Waldichuk,Washington Nationals,4.84
Hunter Dobbins,St. Louis Cardinals,4.57
Tucker Davidson,Philadelphia Phillies,4.77
Luinder Avila,Kansas City Royals,4.46
Santiago Suarez,Tampa Bay Rays,4.94
Aaron Wilkerson,,4.8
Chase Silseth,Kansas City Royals,4.36
Lazaro Estrada,Toronto Blue Jays,4.67
Zach Thornton,New York Mets,4.65
Jake Eder,Washington Nationals,4.92
Ty Madden,Detroit Tigers,4.71
Chris Campos,Los Angeles Dodgers,5.26
Ian Mejia,Atlanta Braves,4.61
Angel Bastardo,Toronto Blue Jays,4.44
Brett Sears,Atlanta Braves,4.89
CJ Van Eyk,Toronto Blue Jays,4.75
Tink Hence,St. Louis Cardinals,4.32
Luis Perales,Washington Nationals,4.39
Drew Thorpe,Chicago White Sox,4.86
Jacob Miller,Miami Marlins,4.79
Hogan Harris,Athletics,4.21
Sean Sullivan,Colorado Rockies,5.33
Pete Hansen,St. Louis Cardinals,4.69
Jackson Ferris,Los Angeles Dodgers,5.2
Jordan Hicks,Chicago White Sox,4.56
