Name,Team,IP,WAR,war_per_200
Scott Barlow,Arizona Diamondbacks,61,0.6,1.967213115
Justin Verlander,Detroit Tigers,132.2,1.3,1.966717095
Jeff Hoffman,Toronto Blue Jays,61.1,0.6,1.963993453
Ben Shields,Colorado Rockies,61.1,0.6,1.963993453
Carlos Rodriguez,Milwaukee Brewers,102.1,1,1.958863859
Ryan Gusto,Miami Marlins,102.2,1,1.956947162
George Klassen,Los Angeles Angels,102.2,1,1.956947162
DJ Herz,Washington Nationals,82,0.8,1.951219512
Aaron Ashby,Milwaukee Brewers,82.1,0.8,1.948842875
Paul Blackburn,New York Yankees,82.2,0.8,1.946472019
Dylan Floro,#N/A,41.2,0.4,1.941747573
Sauryn Lao,#N/A,72.2,0.7,1.939058172
Blake Money,Baltimore Orioles,104,1,1.923076923
Duncan Davitt,Chicago Cubs,125,1.2,1.92
Konner Eaton,Colorado Rockies,125,1.2,1.92
Kutter Crawford,Boston Red Sox,104.2,1,1.919385797
Darren McCaughan,Cincinnati Reds,104.2,1,1.919385797
Garrett McMillan,Pittsburgh Pirates,52.2,0.5,1.915708812
Jonathan Pintaro,New York Mets,73.2,0.7,1.912568306
Jhonathan Díaz,Seattle Mariners,115.1,1.1,1.911381407
Adrian Houser,San Francisco Giants,126,1.2,1.904761905
Brandon Young,Baltimore Orioles,84,0.8,1.904761905
Andrew Nardi,Miami Marlins,42,0.4,1.904761905
Robbie Ray,San Francisco Giants,147.1,1.4,1.903467029
Trey Gibson,Baltimore Orioles,105.1,1,1.902949572
Anthony Kay,Chicago White Sox,116.2,1.1,1.893287435
Sean Newcomb,Chicago Cubs,74.1,0.7,1.889338731
Luis Ortiz,Cleveland Guardians,106.1,1,1.885014138
Nathan Wiles,#N/A,96.1,0.9,1.873048907
Mason Barnett,Athletics,128.2,1.2,1.872074883
Martín Pérez,Atlanta Braves,107.1,1,1.867413632
Daniel Eagen,Arizona Diamondbacks,107.2,1,1.865671642
JR Ritchie,Atlanta Braves,118,1.1,1.86440678
Jesse Scholtens,Tampa Bay Rays,75.1,0.7,1.864181092
Connor Thomas,Atlanta Braves,86.2,0.8,1.856148492
Gordon Graceffo,St. Louis Cardinals,97.1,0.9,1.853759011
Jacob Waguespack,Milwaukee Brewers,54,0.5,1.851851852
Gregory Soto,Pittsburgh Pirates,54.1,0.5,1.848428835
Bailey Falter,Kansas City Royals,119.1,1.1,1.847187238
Brandon Eisert,Chicago Cubs,65,0.6,1.846153846
Zak Kent,Minnesota Twins,54.2,0.5,1.84501845
Hurston Waldrep,Atlanta Braves,130.2,1.2,1.843317972
Jhancarlos Lara,Atlanta Braves,76.1,0.7,1.839684625
Tucker Davidson,Philadelphia Phillies,77,0.7,1.818181818
Paxton Schultz,Washington Nationals,77.1,0.7,1.815823606
Tobias Myers,New York Mets,110.2,1,1.814882033
Luis Medina,Athletics,66.2,0.6,1.812688822
Robert Suarez,Atlanta Braves,55.2,0.5,1.811594203
Brock Stewart,Los Angeles Dodgers,33.2,0.3,1.807228916
Seth Lugo,Kansas City Royals,133.2,1.2,1.801801802
Doug Nikhazy,Chicago Cubs,89,0.8,1.797752809
Tyler Stuart,Washington Nationals,78,0.7,1.794871795
Daniel Espino,Cleveland Guardians,67,0.6,1.791044776
Sean Burke,Chicago White Sox,123.2,1.1,1.785714286
Jose Corniell,Texas Rangers,56,0.5,1.785714286
Steven Okert,Houston Astros,56,0.5,1.785714286
Tim Herrin,Cleveland Guardians,56.1,0.5,1.782531194
Brandon Leibrandt,Cincinnati Reds,56.1,0.5,1.782531194
Chris Paddack,Miami Marlins,124.2,1.1,1.771336554
Shelby Miller,Chicago Cubs,45.2,0.4,1.769911504
Griff McGarry,Los Angeles Dodgers,68,0.6,1.764705882
Kyle Hurt,Los Angeles Dodgers,68.1,0.6,1.762114537
Ryan Bergert,Kansas City Royals,102.2,0.9,1.761252446
Noah Schultz,Chicago White Sox,91,0.8,1.758241758
Jaron DeBerry,Milwaukee Brewers,91.2,0.8,1.754385965
Lucas Giolito,San Diego Padres,137.1,1.2,1.750547046
Nabil Crismatt,Texas Rangers,103,0.9,1.747572816
Slade Cecconi,Cleveland Guardians,126,1.1,1.746031746
Kohl Drake,Arizona Diamondbacks,80.2,0.7,1.74563591
Austin Peterson,Cleveland Guardians,126.1,1.1,1.744647105
Hayden Birdsong,San Francisco Giants,103.2,0.9,1.744186047
Jake Woodford,Milwaukee Brewers,92,0.8,1.739130435
Cooper Criswell,Seattle Mariners,92,0.8,1.739130435
James McArthur,Kansas City Royals,46,0.4,1.739130435
Ben Joyce,Los Angeles Angels,46.1,0.4,1.735357918
Luke Weaver,New York Mets,69.2,0.6,1.734104046
Carlos Lagrange,New York Yankees,104.1,0.9,1.729106628
Shawn Armstrong,Cleveland Guardians,58,0.5,1.724137931
Justin Sterner,Arizona Diamondbacks,58.2,0.5,1.718213058
Henry Baez,Arizona Diamondbacks,105,0.9,1.714285714
Blake Wehunt,Boston Red Sox,70,0.6,1.714285714
Jonathan Santucci,New York Mets,105.1,0.9,1.712654615
Juaron Watts-Brown,Baltimore Orioles,105.2,0.9,1.711026616
Edwin Uceta,Tampa Bay Rays,70.2,0.6,1.709401709
Gabriel Hughes,Colorado Rockies,94,0.8,1.70212766
Yoendrys Gómez,Tampa Bay Rays,94,0.8,1.70212766
Kevin Ginkel,Arizona Diamondbacks,47,0.4,1.70212766
Sean Guenther,Detroit Tigers,47,0.4,1.70212766
Bobby Miller,Los Angeles Dodgers,94.2,0.8,1.6985138
Bryan Baker,Tampa Bay Rays,59,0.5,1.694915254
Chase Petty,Cincinnati Reds,118.1,1,1.693480102
Jonathan Cannon,Chicago White Sox,130.1,1.1,1.691006918
Jhony Brito,San Diego Padres,71,0.6,1.690140845
Alex Faedo,#N/A,59.2,0.5,1.689189189
Caleb Kilian,San Francisco Giants,71.1,0.6,1.687763713
Tony Gonsolin,#N/A,71.2,0.6,1.685393258
Jack Anderson,Boston Red Sox,71.2,0.6,1.685393258
Ryan Feltner,Colorado Rockies,95,0.8,1.684210526
Tate Kuehner,Milwaukee Brewers,95.1,0.8,1.682439537
Chris Clarke,#N/A,60,0.5,1.666666667
Cody Poteet,#N/A,48,0.4,1.666666667
Justin Topa,Minnesota Twins,48,0.4,1.666666667
Jameson Taillon,Chicago Cubs,132.1,1.1,1.665404996
Chase Dollander,Colorado Rockies,108.1,0.9,1.665124884
Ryan Watson,Boston Red Sox,60.1,0.5,1.663893511
Adam Seminaris,Philadelphia Phillies,96.2,0.8,1.663201663
Aaron Bummer,Atlanta Braves,48.1,0.4,1.663201663
Antwone Kelly,Pittsburgh Pirates,97,0.8,1.649484536
Jarlin Susana,Washington Nationals,85,0.7,1.647058824
Dylan Dodd,Atlanta Braves,85.1,0.7,1.645123384
Drey Jameson,Arizona Diamondbacks,73,0.6,1.643835616
Kolby Allard,Cleveland Guardians,85.2,0.7,1.643192488
Jose Quintana,Colorado Rockies,122,1,1.639344262
Tanner Banks,Philadelphia Phillies,61,0.5,1.639344262
Braydon Fisher,Toronto Blue Jays,61,0.5,1.639344262
Dylan Lee,Atlanta Braves,61.1,0.5,1.636661211
Riley Gowens,Chicago Cubs,110.1,0.9,1.634877384
Mark Leiter Jr.,Arizona Diamondbacks,49.1,0.4,1.629327902
Avery Weems,#N/A,49.1,0.4,1.629327902
Seth Shuman,Washington Nationals,86,0.7,1.627906977
Sem Robberse,St. Louis Cardinals,86.1,0.7,1.62601626
Kyle Leahy,St. Louis Cardinals,86.2,0.7,1.62412993
Easton Lucas,#N/A,74,0.6,1.621621622
Steven Zobac,Kansas City Royals,74.1,0.6,1.619433198
Easton McGee,Milwaukee Brewers,62,0.5,1.612903226
Logan Workman,Tampa Bay Rays,124.1,1,1.611603546
Patrick Corbin,Toronto Blue Jays,124.2,1,1.610305958
Bruce Zimmermann,St. Louis Cardinals,112.2,0.9,1.604278075
Richard Fitts,St. Louis Cardinals,100,0.8,1.6
Randy Rodríguez,San Francisco Giants,50,0.4,1.6
Shane Drohan,Milwaukee Brewers,75.2,0.6,1.595744681
Erik Miller,San Francisco Giants,50.2,0.4,1.593625498
Dane Dunning,Seattle Mariners,101,0.8,1.584158416
Quinn Mathews,St. Louis Cardinals,101.1,0.8,1.582591494
Tanner McDougal,Chicago White Sox,101.1,0.8,1.582591494
